,0
204,0.5999999999999996
205,-1.4
206,-0.19999999999999996
207,-0.3999999999999999
208,-1.0
209,-1.6
210,-0.8
211,-1.2
212,-1.6
213,-1.0
214,-0.3999999999999999
215,-0.8
216,-1.8
217,-1.2
218,-2.0
219,-1.6
220,-1.6
221,-1.8
222,-1.2
223,-1.0
224,-2.0
225,0.30000000000000027
226,-1.6
227,-1.4000000000000001
228,-2.2
229,-1.8
230,-1.2
231,-0.3999999999999999
232,-2.2
233,-1.4
234,-0.8
235,-1.0
236,-1.2
237,-1.4
238,-1.8
239,-1.4
240,0.19999999999999996
241,-1.6
242,-1.0
243,-1.2
244,-1.2
245,-0.3999999999999999
246,-1.0
247,-2.0
248,-1.4
249,-1.2
250,-0.7999999999999999
251,0.8
252,-0.3999999999999999
253,-0.3999999999999999
254,-1.2
255,-0.7999999999999999
256,-1.6
257,-1.2
258,-1.8
259,-1.2
260,-1.4
261,-1.6
262,-1.6
263,-0.5999999999999999
264,-1.4
265,-1.4000000000000001
266,-1.2
267,-1.2
268,-0.3999999999999999
269,-1.8
270,-0.8
271,-1.2
272,-0.3999999999999999
273,-1.0
274,-2.0
275,1.0
276,-1.2
277,-1.4
278,-2.2
279,-1.0
280,-1.8
281,-0.8
282,0.4999999999999998
283,-1.8
284,-0.6
285,-2.4
286,-0.29999999999999993
287,0.3999999999999999
288,-0.8
289,-1.2
290,-1.4
291,0.0
292,-0.8
293,0.6000000000000001
294,-1.4
295,-0.8
296,-1.0
297,-1.2
298,-1.6
299,-0.19999999999999996
300,-1.6
301,-0.6
302,-0.8
303,-1.2
304,-1.4000000000000001
305,-1.6
306,-1.4
307,-1.4
308,0.3999999999999999
309,-0.8
310,-1.8
311,0.7999999999999998
312,-2.0
313,-2.0
314,-1.2
315,-0.6
316,-1.4
317,-0.6
318,-1.6
319,-1.2
320,-1.8
321,-1.0
322,-1.4
323,-2.2
324,-1.2
325,-1.8
326,-1.6
327,-0.8
328,-1.2
329,-2.4
330,-1.4
331,-1.4
332,-2.0
333,-0.8
334,-1.0
335,-1.2
336,-0.8
337,-0.8
338,-1.2
339,-0.6
340,-1.8
341,-1.6
342,-1.4
343,0.10000000000000009
344,-1.4000000000000001
345,0.8
346,-1.6
347,-0.5999999999999999
348,-1.6
349,0.0
350,-1.6
351,-1.4
352,-1.4
353,-1.6
354,-0.6000000000000001
355,-1.2000000000000002
356,-0.6
357,-1.2
358,-1.6
359,-1.4
360,-1.2
361,-1.0
362,-1.4
363,-0.3999999999999999
364,-1.2
365,0.5999999999999999
366,-1.4
367,-1.6
368,0.3999999999999999
369,-1.0
370,-0.6
371,-1.4
372,-0.5999999999999999
373,-1.8
374,-0.5999999999999999
375,-1.4
376,-1.4
377,-0.6
378,-0.8
379,-1.2
380,-0.7999999999999999
381,-0.5999999999999999
382,-1.2
383,-1.6
384,-0.6
385,-1.2
386,-1.4
387,-2.2
388,-1.6
389,-1.6
390,-0.6
391,-0.6000000000000001
392,-0.6
393,-0.8
394,1.1
395,-1.8
396,-2.4
397,-0.8
398,-1.6
399,-0.6
400,-1.8
401,-1.8
402,-1.2
403,-1.2
404,-1.4000000000000001
405,-1.0
406,-1.4
407,-0.8
408,-1.8
409,-1.0
410,-1.0
411,-1.2000000000000002
412,-1.4
413,0.6000000000000001
414,-1.2
415,-1.8
416,-1.0
417,-1.8
418,-1.4
419,-0.3999999999999999
420,-1.6
421,-2.2
422,-1.6
423,-1.2000000000000002
424,-1.2
425,-1.6
426,-1.0
427,-1.0
428,-1.8
429,-0.3999999999999999
430,0.0
431,-1.2
432,-1.6
433,-1.2
434,-1.2
435,-1.0
436,-1.6
437,-1.6
438,-1.4000000000000001
439,-2.0
440,-1.2
441,-2.0
442,-0.6000000000000001
443,-1.2
444,-0.3999999999999999
445,-0.6000000000000001
446,-0.3999999999999999
447,-1.6
448,-0.8
449,-1.6
450,-1.6
451,-0.19999999999999996
452,-0.6
453,-0.8
454,-2.0
455,-1.8
456,-1.6
457,-1.0
458,-1.6
459,-1.2
460,-1.0
461,-1.6
462,-1.4
463,-1.8
464,-2.0
465,-0.6
466,-1.6
467,-1.6
468,0.30000000000000027
469,-1.2
470,0.19999999999999996
471,-1.4
472,-1.2
473,-1.2
474,-0.5999999999999999
475,-2.0
476,-1.6
477,-1.4
478,0.8
479,-0.3999999999999999
480,-0.3999999999999999
481,-1.4
482,-0.6
483,0.5
484,-1.2
485,-0.3999999999999999
486,-1.2
487,-2.2
488,-0.6
489,-1.0
490,-0.8
491,-1.6
492,-0.6
493,-1.4
494,-1.4
495,-1.2
496,-0.8
497,-0.3999999999999999
498,-2.2
499,-1.0
500,0.40000000000000013
501,-1.0
502,-1.2
503,-1.6
504,-0.7999999999999999
505,-1.2
506,-2.5999999999999996
507,-1.4
508,0.5999999999999999
509,-1.4
510,-2.0
511,-1.2
512,-0.3999999999999999
513,-1.2
514,-1.6
515,-0.6
516,-1.2
517,-1.4
518,0.19999999999999996
519,-1.6
520,-1.8
521,-2.0
522,-1.0
523,-0.19999999999999996
524,-2.0
525,-1.4
526,-1.6
527,0.19999999999999996
528,-1.2
529,-1.0
530,-1.0
531,-1.2
532,-1.6
533,-1.8
534,0.0
535,-2.0
536,-0.7999999999999999
537,-1.4000000000000001
538,-1.0
539,-1.2
540,-0.5999999999999999
541,0.19999999999999996
542,-0.6
543,-1.4
544,-0.3999999999999999
545,-1.2
546,-1.8
547,-2.0
548,-1.2
549,-0.3999999999999999
550,1.7999999999999998
551,-1.4
552,-1.6
553,-1.4000000000000001
554,-1.4
555,-1.6
556,-1.6
557,-1.4
558,-0.5999999999999999
559,-1.4
560,-0.3999999999999999
561,-1.8
562,0.19999999999999996
563,-1.2000000000000002
564,-1.6
565,-1.0
566,-1.4
567,-1.2
568,-0.8
569,-2.4
570,-1.2
571,-0.4999999999999999
572,-0.8
573,-0.8
574,-0.3999999999999999
575,-0.8
576,0.19999999999999996
577,-1.4000000000000001
578,-1.2
579,-0.8
580,-1.6
581,-1.4
582,-1.6
583,-1.6
584,-1.0
585,0.6000000000000001
586,-1.6
587,-0.6
588,-1.4000000000000001
589,-1.2
590,-0.3999999999999999
591,1.3000000000000003
592,-1.2
593,0.0
594,-1.0
595,-0.8
596,-1.0
597,-1.2
598,-1.0
599,-2.0
600,-0.6
601,-1.4
602,-1.2
603,-1.4000000000000001
604,0.3999999999999999
605,-1.0
606,-1.0
607,-2.0
608,-1.0
609,-0.8
610,-0.8
611,-1.2
612,-1.4
613,-0.8
614,-0.8
615,-1.2
616,-1.2
617,-0.09999999999999998
618,-0.8
619,0.0
620,-0.19999999999999996
621,-2.0
622,-0.8
623,-0.3999999999999999
624,-0.6
625,-1.6
626,-1.6
627,-1.2
628,-1.2
629,-1.2
630,0.9999999999999993
631,-0.8
632,-1.6
633,0.40000000000000013
634,-1.0
635,-0.7999999999999999
636,-1.2000000000000002
637,-2.2
638,-0.6
639,0.3999999999999999
640,-1.0
641,-0.6
642,-0.6
643,-1.6
644,-1.6
645,-1.0
646,-1.4
647,-1.0
648,-1.2
649,-1.2
650,0.7
651,-1.8
652,-1.0
653,-0.7999999999999999
654,-1.6
655,-0.6
656,-1.0
657,-1.2
658,-1.2
659,-0.3999999999999999
660,-1.2
661,-0.19999999999999996
662,-0.6
663,-0.3999999999999999
664,-0.6
665,-1.2
666,-1.2
667,-1.2
668,-1.0
669,-0.6
670,-1.4
671,-1.6
672,0.8999999999999999
673,-1.0
674,-1.2
675,0.9000000000000001
676,0.19999999999999996
677,-1.4
678,-0.8
679,-1.4
680,-1.6
681,-1.4
682,-0.8
683,-0.8
684,-1.4000000000000001
685,-1.4000000000000001
686,0.7
687,-1.0
688,-1.0
689,-0.8
690,-1.4000000000000001
691,-0.6
692,-1.2
693,-1.0
694,-1.2
695,-1.6
696,-1.0
697,-0.5999999999999999
698,-1.2
699,-1.2
700,-0.8
701,-1.4
702,-1.8
703,-0.8
704,-0.8
705,-0.6
706,-0.8
707,-1.4000000000000001
708,-1.8
709,-0.3999999999999999
710,-1.2
711,-1.2
712,-1.2
713,-1.6
714,-0.8
715,-1.2
716,-1.2
717,-1.6
718,-0.5999999999999999
719,-1.4
720,-1.4
721,-1.2
722,-0.3999999999999999
723,-1.2
724,-1.2
725,-1.4
726,-1.4
727,-1.4000000000000001
728,-0.7999999999999999
729,-0.8
730,-0.19999999999999996
731,0.3999999999999999
732,-1.8
733,-0.8
734,-1.4
735,0.19999999999999973
736,-2.0
737,-1.6
738,-0.8
739,-1.8
740,-0.8
741,-0.8
742,0.4999999999999998
743,-1.6
744,-0.3999999999999999
745,-1.8
746,-1.8
747,-1.6
748,0.8
749,-2.0
750,0.09999999999999987
751,-1.2
752,-1.6
753,-1.4
754,-1.2
755,-1.0
756,0.0
757,0.0
758,-1.2000000000000002
759,-1.6
760,-1.4
761,-1.0
762,-1.4
763,-1.2
764,-1.4
765,-0.8
766,-1.2
767,-0.6999999999999998
768,-0.8
769,-1.8
770,-0.8
771,-1.2
772,-0.6
773,-1.4000000000000001
774,-1.2
775,0.2999999999999998
776,-1.4
777,-1.4000000000000001
778,-2.0
779,-1.8
780,-1.6
781,-1.6
782,-1.0
783,-1.2
784,-1.0
785,-2.4
786,-2.0
787,-1.8
788,-1.8
789,0.6000000000000001
790,-1.2
791,-1.6
792,-1.4
793,-1.2
794,-1.2
795,-1.2
796,-1.2
797,-1.4
798,0.8999999999999999
799,-1.4
800,-1.6
801,-0.8
802,-0.3999999999999999
803,-0.6
804,-1.4000000000000001
805,-1.2
806,-1.4
807,-0.5999999999999999
808,-0.10000000000000009
809,-0.8
810,0.7000000000000006
811,-1.6
812,-0.8
813,-1.6
814,-1.2
815,1.4
816,-1.8
817,-0.3999999999999999
818,-1.2
819,-2.4
820,-0.8
821,-1.4000000000000001
822,-0.8
823,-1.4
824,-1.2
825,-0.6
826,-1.4
827,-1.2
828,-1.6
829,-0.7999999999999999
830,-0.3999999999999999
831,-1.2
832,-1.0
833,-1.8
834,-1.4000000000000001
835,-1.2
836,-1.0
837,-0.6
838,-0.8
839,-0.7999999999999999
840,-1.2
841,0.0
842,-1.2
843,-0.6
844,-1.6
845,-1.2
846,-0.19999999999999996
847,-0.6
848,-1.0
849,0.0
850,-0.6
851,-1.8
852,-1.0
853,-2.0
854,-0.6
855,-0.6000000000000001
856,-1.4
857,-0.6
858,-1.8
859,-0.7999999999999999
860,-1.0
861,-1.6
862,-1.0
863,-1.8
864,-0.8
865,-2.5999999999999996
866,-0.3999999999999999
867,-1.6
868,-1.2
869,-1.2
870,-1.4
871,-1.4
872,-1.4000000000000001
873,-1.2
874,-2.0
875,-1.8
876,-1.4
877,-1.4
878,-1.6
879,-1.2
880,-1.6
881,-0.6
882,-0.8
883,-2.2
884,-1.8
885,0.5
886,-1.2000000000000002
887,-0.8
888,-1.2
889,-1.8
890,-1.0
891,-1.4
892,-0.6
893,-0.19999999999999996
894,-0.19999999999999996
895,-0.8
896,-1.0
897,-1.0
898,-1.4
899,-2.0
900,-1.4
901,0.10000000000000009
902,-1.2
903,-1.0
904,-1.2
905,-0.5999999999999999
906,-2.2
907,-1.0
908,-0.6
909,-1.2
910,-1.4
911,-2.2
912,-0.8
913,-0.8
914,-1.4
915,-1.2
916,-1.4000000000000001
917,-0.5999999999999999
918,0.19999999999999996
919,-1.2
920,-1.8
921,-1.6
922,-1.2
923,0.0
924,-1.4
925,-0.6
926,-0.3999999999999999
927,-1.0
928,-0.8
929,-1.4
930,-1.8
931,-0.3999999999999999
932,-2.2
933,-1.8
934,0.3999999999999999
935,-1.2
936,-0.8
937,-1.2
938,-0.3999999999999999
939,-1.6
940,-0.8
941,-0.8
942,-0.8
943,-1.6
944,-1.0
945,-1.0
946,-1.6
947,-1.8
948,-0.19999999999999996
949,-1.0
950,-1.0
951,0.19999999999999996
952,-1.8
953,-1.6
954,0.0
955,-1.6
956,-2.4
957,-1.0
958,0.0
959,-1.2
960,-1.4
961,0.3999999999999999
962,-1.6
963,-1.4
964,-1.0
965,-1.0
966,-1.8
967,-1.2
968,-1.0
969,-0.09999999999999998
970,0.0
971,-1.2
972,-2.4
973,-1.0
974,-0.8
975,-1.4
976,-1.6
977,-1.2
978,0.6000000000000001
979,-0.8
980,-0.8
981,-1.8
982,-1.8
983,-1.4000000000000001
984,-0.6
985,-0.8
986,-0.19999999999999996
987,-0.6
988,-1.0
989,-2.2
990,-1.6
991,-0.8
992,-1.2
993,-0.5999999999999999
994,-0.7999999999999999
995,-1.2
996,-0.8
997,-1.2
998,-1.2
999,-0.3999999999999999
1000,-0.6
